instance,runtime,BINARY+,Basic-featuretime,HORNY-VAR-coeff-variation,HORNY-VAR-entropy,HORNY-VAR-max,HORNY-VAR-mean,HORNY-VAR-min,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-entropy,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-VAR-entropy,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-stdev,Pre-featuretime,TRINARY+,UNARY,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-entropy,VCG-CLAUSE-max,VCG-CLAUSE-mean,VCG-CLAUSE-min,VCG-VAR-coeff-variation,VCG-VAR-entropy,VCG-VAR-max,VCG-VAR-mean,VCG-VAR-min,VG-coeff-variation,VG-max,VG-mean,VG-min,cl-featuretime,cl-num-coeff-variation,cl-num-max,cl-num-mean,cl-num-min,cl-num-q10,cl-num-q25,cl-num-q50,cl-num-q75,cl-num-q90,cl-size-coeff-variation,cl-size-max,cl-size-mean,cl-size-min,cl-size-q10,cl-size-q25,cl-size-q50,cl-size-q75,cl-size-q90,cluster-coeff-coeff-variation,cluster-coeff-entropy,cluster-coeff-max,cluster-coeff-mean,cluster-coeff-min,horn-clauses-fraction,nclauses,nclausesOrig,nvars,nvarsOrig,reducedClauses,reducedVars
indu/cbmc_binsearch-sat-lin.c_a193_s6_satelite.cnf,0.05,0.082330514,0,0.86066048,2.224617736,0.00655308,8.32E-04,0,0.5377252,1.292018046,1,0.465074444,0,1.382034337,0.987654321,0.141000086,0,0.255849819,0.02,0.732872632,0,1.772789977,1.170390165,0.032816229,0.003658151,0.001193317,1.979821744,2.458000179,0.039795067,0.003658151,8.34E-04,1.477455361,0.039437627,0.004013033,4.77E-04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556214896,3.571575054,0.709858522,0.257489482,0.023370523,0.46205171,8393,8393,1676,1676,0,0
indu/cbmc_binsearch-sat-lin.c_a187_s4_satelite.cnf,0.03,0.107987819,0,0.773080633,2.154323243,0.011946592,0.001624181,2.34E-04,0.567745895,1.14688962,1,0.442073663,0,1.50156034,0.952,0.155722403,0,0.260383046,0,0.790349028,0,2.04388344,0.953950482,0.081858407,0.005331449,0.002212389,1.201935415,2.434834938,0.030686343,0.005331449,0.001639728,1.312570921,0.046615132,0.006951225,9.37E-04,0.03,0,577,577,577,577,577,577,577,577,0,6.670710572,6.670710572,6.670710572,6.670710572,6.670710572,6.670710572,6.670710572,6.670710572,0.459872474,3.254571163,0.523809524,0.241673635,0.018229036,0.496837667,4269,4269,904,904,0,0
indu/cbmc_binsearch-sat-lin.c_a449_s5_satelite.cnf,0.05,0.091661107,0.01,0.914555677,2.3912172,0.007071381,8.90E-04,0,0.551688251,1.292432557,1,0.475013126,0,1.438941654,0.987654321,0.158759952,0,0.252523104,0.01,0.756904603,0,1.76327407,1.177138371,0.035286285,0.004132182,0.001331558,2.021803476,2.568557881,0.044563042,0.004132182,9.34E-04,1.398159206,0.048165444,0.004694652,5.34E-04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509798673,3.528427309,0.713696522,0.263593425,0.024975394,0.451100734,7495,7495,1502,1502,0,0
indu/factor-3463-3853.cnf,0,0.160776506,0,0.365940406,1.345735866,0.012444002,0.004829442,0.00199104,0.513327941,1.089173863,1,0.368010619,0,0.928758674,0.272727273,0.026816817,0,0.046376229,0,0.577401692,0,0.220202448,1.026493795,0.01305483,0.008517806,0.005221932,0.1882419,1.84272222,0.013937282,0.008517806,0.00298656,0.513820929,0.012444002,0.003605187,0.00149328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325482644,2.948615108,0.610294118,0.331560487,0.046511628,0.596814335,2009,2232,383,434,0.111000498,0.133159269
indu/factor-3457-3931.cnf,0.01,0.160776506,0,0.362593038,1.325542376,0.012444002,0.004832042,0.00199104,0.514726441,1.094897154,1,0.370997179,0,0.942714895,0.272727273,0.027513074,0,0.047943672,0,0.577401692,0,0.220202448,1.026493795,0.01305483,0.008517806,0.005221932,0.1882419,1.84272222,0.013937282,0.008517806,0.00298656,0.513820929,0.012444002,0.003605187,0.00149328,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325882994,2.951096905,0.610294118,0.331800052,0.046511628,0.596814335,2009,2232,383,434,0.111000498,0.133159269
indu/factor-3061-3607.cnf,0.01,0.155994222,0,0.368657953,1.275551807,0.012036591,0.004737651,0.001925855,0.50190859,1.067665151,1,0.361900177,0,0.948841137,0.272727273,0.026651432,0,0.03909595,0,0.579682234,0,0.21800827,1.017980778,0.010152284,0.008285085,0.005076142,0.179398816,1.773149201,0.012518055,0.008285085,0.002888782,0.540599206,0.012036591,0.003558432,0.001444391,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330833454,2.913268807,0.610294118,0.328543021,0.057142857,0.602792489,2077,2232,394,434,0.074626866,0.101522843
indu/cbmc_binsearch-sat-lin.c_a119_s6_satelite.cnf,0.02,0.107811038,0,0.773080633,2.154323243,0.011927035,0.001621522,2.34E-04,0.568237631,1.152094543,1,0.442942768,0,1.506384433,0.954545455,0.156379378,0,0.261944306,0,0.789055192,0,2.074311214,0.959471255,0.081858407,0.005456727,0.002212389,1.244106178,2.431212162,0.032273152,0.005456727,0.001637044,1.322127704,0.046538821,0.007043325,9.35E-04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464233575,3.245967019,0.523809524,0.24080984,0.018229036,0.496024322,4276,4276,904,904,0,0
indu/factor-3329-3331.cnf,0.01,0.155994222,0,0.369271082,1.266732368,0.012036591,0.004740095,0.001925855,0.500847925,1.063991562,1,0.360455786,0,0.940336069,0.2,0.026189965,0,0.037216549,0,0.579682234,0,0.21800827,1.017980778,0.010152284,0.008285085,0.005076142,0.179398816,1.773149201,0.012518055,0.008285085,0.002888782,0.540599206,0.012036591,0.003558432,0.001444391,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330638133,2.91256177,0.610294118,0.328422179,0.057142857,0.603273953,2077,2232,394,434,0.074626866,0.101522843
indu/factor-3163-3583.cnf,0.05,0.155587669,0,0.367254731,1.267982608,0.012524085,0.004749543,0.001926782,0.504148112,1.077253409,1,0.366409762,0,0.963377139,0.272727273,0.027465643,0,0.041787121,0,0.579479769,0,0.217854294,1.017575547,0.010178117,0.008307716,0.005089059,0.177259139,1.774048709,0.012524085,0.008307716,0.004816956,0.538436263,0.012042389,0.003564302,0.002408478,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331186706,2.950809566,0.563157895,0.328556747,0.057142857,0.602119461,2076,2232,393,434,0.075144509,0.1043257
indu/factor-3301-3539.cnf,0.02,0.155994222,0,0.367452932,1.276630023,0.012036591,0.004720543,0.001925855,0.505583521,1.080705974,1,0.36767774,0,0.97706864,0.2,0.027882012,0,0.041770706,0,0.579682234,0,0.21800827,1.017980778,0.010152284,0.008285085,0.005076142,0.179398816,1.773149201,0.012518055,0.008285085,0.002888782,0.540599206,0.012036591,0.003558432,0.001444391,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331518147,2.93361139,0.610294118,0.328991251,0.057142857,0.599903707,2077,2232,394,434,0.074626866,0.101522843
